rater_id,pair_id,bug_id,project,patch_A,patch_B,stratum
R2,P173,Math-80,Math,Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-80-jKali-plausible,Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-80-DynaMoth-plausible,Math|O-O|large
R3,P133,Math-70,Math,Patches_others__Dcorrect__SOFix__Math__patch1-Math-70-SOFix,Patches_ICSE__Dsame__kPAR__Math__patch1-Math-70-kPAR,Math|C-C|medium
R2,P081,Closure-73,Closure,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-73-SimFix,Patches_others__Dcorrect__SequenceR__Closure__patch2-Closure-73-SequenceR,Closure|C-C|small
R1,P113,Chart-25,Chart,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible,Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-25-Kali-plausible,Chart|O-O|small
R2,P021,Lang-55,Lang,Patches_others__Doverfitting__Jaid__Lang__patch3-Lang-55-Jaid-plausible,Patches_others__Dcorrect__Jaid__Lang__patch1-Lang-55-Jaid,Lang|C-O|medium
R1,P076,Chart-13,Chart,Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-13-Cardumen-plausible,Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-13-DynaMoth-plausible,Chart|O-O|large
R3,P068,Math-80,Math,Patches_ICSE__Doverfitting__Nopol__Math__patch1-Math-80-Nopol-plausible,Patches_others__Doverfitting__Jaid__Math__patch3-Math-80-Jaid-plausible,Math|O-O|large
R3,P055,Lang-57,Lang,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-57-TBar,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang|C-C|small
R1,P165,Lang-59,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Patches_others__Doverfitting__CapGen__Lang__patch7-Lang-59-CapGen-plausible,Lang|O-O|medium
R1,P120,Closure-21,Closure,Patches_ICSE__Doverfitting__jGenProg__Closure__patch1-Closure-21-jGenProg-plausible,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-21-Arja-plausible,Closure|O-O|large
R1,P123,Lang-10,Lang,Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang|C-C|large
R3,P008,Closure-126,Closure,Patches_others__Dcorrect__SketchFix__Closure__patch1-Closure-126-SketchFix,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Closure|C-C|large
R2,P053,Lang-33,Lang,Patches_ICSE__Dsame__SimFix__Lang__patch1-Lang-33-SimFix,Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-33-Jaid,Lang|C-C|large
R2,P079,Closure-115,Closure,Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure|C-C|large
R2,P161,Lang-10,Lang,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-10-kPAR-plausible,Lang|C-O|large
R1,P132,Math-5,Math,Patches_others__Dcorrect__CapGen__Math__patch1-Math-5-CapGen,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,Math|C-C|large
R2,P170,Math-53,Math,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Patches_others__Doverfitting__Jaid__Math__patch2-Math-53-Jaid-plausible,Math|C-O|large
R2,P054,Lang-51,Lang,Patches_others__Dcorrect__Jaid__Lang__patch1-Lang-51-Jaid,Patches_others__Dcorrect__Jaid__Lang__patch3-Lang-51-Jaid,Lang|C-C|medium
R1,P084,Closure-18,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch4-Closure-18-SequenceR,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-18-Jaid,Closure|C-O|small
R1,P019,Lang-6,Lang,Patches_ICSE__Dsame__AVATAR__Lang__patch1-Lang-6-AVATAR,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-6-SOFix,Lang|C-C|small
R3,P197,Lang-44,Lang,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-44-TBar-plausible,Patches_ICSE__Doverfitting__Nopol__Lang__patch1-Lang-44-Nopol-plausible,Lang|O-O|large
R3,P143,Chart-14,Chart,Patches_ICSE__Dsame__ACS__Chart__patch1-Chart-14-ACS,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-14-kPAR-plausible,Chart|C-O|large
R2,P038,Chart-19,Chart,Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-19-Arja-plusible,Chart|C-O|large
R3,P099,Math-5,Math,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-5-SequenceR,Patches_ICSE__Dsame__TBar__Math__patch1-Math-5-TBar,Math|C-C|small
R2,P032,Math-81,Math,Patches_ICSE__Doverfitting__jGenProg__Math__patch1-Math-81-jGenProg-plausible,Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-81-ACS-plausible,Math|O-O|large
R2,P034,Math-85,Math,Patches_others__Doverfitting__SequenceR__Math__patch2-Math-85-SequenceR,Patches_others__Doverfitting__Jaid__Math__patch4-Math-85-Jaid-plausible,Math|O-O|small
R3,P029,Math-85,Math,Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-85-GenProg-plausible,Patches_others__Dcorrect__CapGen__Math__patch1-Math-85-CapGen,Math|C-O|large
R2,P042,Chart-3,Chart,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-3-kPAR-plausible,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-3-GenProg-plausible,Chart|O-O|medium
R3,P179,Chart-1,Chart,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-1-SOFix,Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,Chart|C-O|medium
R1,P151,Closure-73,Closure,Patches_others__Dcorrect__SequenceR__Closure__patch2-Closure-73-SequenceR,Patches_others__Dcorrect__SequenceR__Closure__patch1-Closure-73-SequenceR,Closure|C-C|small
R2,P045,Closure-126,Closure,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-126-Jaid,Patches_ICSE__Dsame__RSRepair__Closure__patch1-Closure-126-RSRepair,Closure|C-C|medium
R1,P194,Lang-59,Lang,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-59-TBar,Lang|C-C|small
R3,P149,Closure-115,Closure,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-115-Kali,Closure|C-C|large
R2,P159,Lang-51,Lang,Patches_others__Dcorrect__Jaid__Lang__patch1-Lang-51-Jaid,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-51-SOFix,Lang|C-C|medium
R3,P177,Chart-1,Chart,Patches_others__Dcorrect__SketchFix__Chart__patch1-Chart-1-SketchFix,Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair,Chart|C-C|small
R3,P162,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch13-Lang-59-CapGen-plausible,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Lang|C-O|medium
R1,P170,Math-53,Math,Patches_others__Doverfitting__Jaid__Math__patch2-Math-53-Jaid-plausible,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Math|C-O|large
R2,P139,Math-82,Math,Patches_others__Doverfitting__Jaid__Math__patch2-Math-82-Jaid-plausible,Patches_others__Doverfitting__Jaid__Math__patch3-Math-82-Jaid-plausible,Math|O-O|medium
R2,P090,Lang-57,Lang,Patches_ICSE__Dsame__TBar__Lang__patch1-Lang-57-TBar,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-57-CapGen,Lang|C-C|small
R3,P147,Chart-1,Chart,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Patches_others__Doverfitting__SequenceR__Chart__patch4-Chart-1-SequenceR,Chart|O-O|medium
R1,P041,Chart-13,Chart,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-13-GenProg-plausible,Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-13-TBar-plausible,Chart|O-O|large
R2,P014,Closure-114,Closure,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-114-RSRepair-plausible,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-114-Arja-plausible,Closure|O-O|large
R3,P013,Closure-86,Closure,Patches_others__Doverfitting__SequenceR__Closure__patch5-Closure-86-SequenceR,Patches_others__Dcorrect__SequenceR__Closure__patch1-Closure-86-SequenceR,Closure|C-O|small
R1,P002,Chart-14,Chart,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Patches_ICSE__Dsame__ACS__Chart__patch1-Chart-14-ACS,Chart|C-O|large
R1,P127,Lang-51,Lang,Patches_others__Dcorrect__SOFix__Lang__patch1-Lang-51-SOFix,Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-51-Jaid,Lang|C-O|medium
R3,P079,Closure-115,Closure,Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure|C-C|large
R3,P080,Closure-126,Closure,Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,Patches_ICSE__Dsame__RSRepair__Closure__patch1-Closure-126-RSRepair,Closure|C-C|medium
R3,P146,Chart-13,Chart,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-13-Arja-plusible,Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-13-DynaMoth-plausible,Chart|O-O|large
R2,P018,Lang-51,Lang,Patches_others__Dcorrect__Jaid__Lang__patch5-Lang-51-Jaid,Patches_others__Dcorrect__Jaid__Lang__patch6-Lang-51-Jaid,Lang|C-C|medium
R1,P134,Math-5,Math,Patches_others__Dcorrect__SOFix__Math__patch1-Math-5-SOFix,Patches_ICSE__Dsame__SimFix__Math__patch1-Math-5-SimFix,Math|C-C|small
R1,P022,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch9-Lang-59-CapGen-plausible,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-59-CapGen,Lang|C-O|small
R2,P095,Lang-59,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Patches_others__Doverfitting__CapGen__Lang__patch11-Lang-59-CapGen-plausible,Lang|O-O|medium
R3,P058,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch1-Lang-59-CapGen-plausible,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Lang|C-O|small
R3,P051,Closure-114,Closure,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-114-GenProg-plausible,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-114-Kali-plausible,Closure|O-O|medium
R1,P108,Chart-12,Chart,Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-12-GenProg-plausible,Chart|C-O|large
R1,P110,Chart-1,Chart,Patches_ICSE__Doverfitting__jKali__Chart__patch1-Chart-1-jKali-plausible,Patches_ICSE__Dsame__SimFix__Chart__patch1-Chart-1-SimFix,Chart|C-O|small
R3,P105,Math-85,Math,Patches_others__Doverfitting__Jaid__Math__patch1-Math-85-Jaid-plausible,Patches_others__Doverfitting__SequenceR__Math__patch11-Math-85-SequenceR,Math|O-O|small
R2,P075,Chart-1,Chart,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-1-SOFix,Patches_others__Doverfitting__Jaid__Chart__patch2-Chart-1-Jaid-plausible,Chart|C-O|small
R1,P065,Math-85,Math,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-85-TBar-plausible,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-85-ACS,Math|C-O|large
R2,P190,Closure-67,Closure,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-67-GenProg-plausible,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-67-Arja-plausible,Closure|O-O|large
R1,P153,Closure-33,Closure,Patches_others__Doverfitting__Jaid__Closure__patch1-Closure-33-Jaid-plausible,Patches_others__Dcorrect__Jaid__Closure__patch1-Closure-33-Jaid,Closure|C-O|medium
R3,P070,Math-82,Math,Patches_others__Doverfitting__SequenceR__Math__patch3-Math-82-SequenceR,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-82-kPAR-plausible,Math|O-O|small
R1,P085,Closure-21,Closure,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-21-RSRepair-plausible,Patches_ICSE__Doverfitting__jMutRepair__Closure__patch1-Closure-21-jMutRepair-plausible,Closure|O-O|large
R2,P028,Math-57,Math,Patches_others__Dcorrect__CapGen__Math__patch1-Math-57-CapGen,Patches_ICSE__Dsame__FixMiner__Math__patch1-Math-57-FixMiner,Math|C-C|small
R1,P058,Lang-59,Lang,Patches_others__Dcorrect__SequenceR__Lang__patch1-Lang-59-SequenceR,Patches_others__Doverfitting__CapGen__Lang__patch1-Lang-59-CapGen-plausible,Lang|C-O|small
R3,P002,Chart-14,Chart,Patches_ICSE__Dsame__ACS__Chart__patch1-Chart-14-ACS,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart|C-O|large
R1,P060,Lang-51,Lang,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-51-AVATAR-plausible,Patches_others__Doverfitting__Jaid__Lang__patch2-Lang-51-Jaid-plausible,Lang|O-O|medium
R1,P191,Closure-33,Closure,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-33-Kali-plausible,Patches_others__Doverfitting__Jaid__Closure__patch1-Closure-33-Jaid-plausible,Closure|O-O|medium
R2,P121,Closure-22,Closure,Patches_ICSE__Doverfitting__SimFix__Closure__patch1-Closure-22-SimFix-plausible,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-22-GenProg-plausible,Closure|O-O|medium
R2,P117,Closure-115,Closure,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-115-kPAR-plausible,Closure|C-O|large
R2,P114,Closure-126,Closure,Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Closure|C-C|large
R3,P030,Math-80,Math,Patches_others__Doverfitting__Jaid__Math__patch3-Math-80-Jaid-plausible,Patches_others__Dcorrect__Jaid__Math__patch1-Math-80-Jaid,Math|C-O|medium
R1,P017,Lang-33,Lang,Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-33-Jaid,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-33-TBar,Lang|C-C|large
R1,P147,Chart-1,Chart,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Patches_others__Doverfitting__SequenceR__Chart__patch4-Chart-1-SequenceR,Chart|O-O|medium
R3,P183,Chart-26,Chart,Patches_others__Doverfitting__Jaid__Chart__patch1-Chart-26-Jaid-plausible,Patches_ICSE__Doverfitting__jMutRepair__Chart__patch1-Chart-26-jMutRepair-plausible,Chart|O-O|small
R2,P199,Lang-16,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-16-kPAR-plausible,Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-16-Arja-plausible,Lang|O-O|small
R2,P101,Math-82,Math,Patches_others__Dcorrect__SequenceR__Math__patch1-Math-82-SequenceR,Patches_others__Doverfitting__Jaid__Math__patch1-Math-82-Jaid-plausible,Math|C-O|medium
R3,P040,Chart-24,Chart,Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-24-Cardumen-plausible,Patches_others__Dcorrect__SOFix__Chart__patch1-Chart-24-SOFix,Chart|C-O|small
R2,P158,Lang-33,Lang,Patches_others__Dcorrect__Jaid__Lang__patch1-Lang-33-Jaid,Patches_others__Dcorrect__Jaid__Lang__patch2-Lang-33-Jaid,Lang|C-C|large
R2,P056,Lang-10,Lang,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-10-kPAR-plausible,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang|C-O|large
R1,P059,Lang-39,Lang,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,Patches_ICSE__Doverfitting__jGenProg__Lang__patch1-Lang-39-jGenProg-plausible,Lang|O-O|large
R2,P000,Chart-19,Chart,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-19-TBar,Patches_ICSE__Ddifferent__ACS__Chart__patch1-Chart-19-ACS,Chart|C-C|medium
R1,P182,Chart-3,Chart,Patches_ICSE__Doverfitting__jGenProg__Chart__patch1-Chart-3-jGenProg-plausible,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-3-GenProg-plausible,Chart|O-O|medium
R1,P126,Lang-10,Lang,Patches_ICSE__Doverfitting__SimFix__Lang__patch1-Lang-10-SimFix-plausible,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang|C-O|large
R2,P147,Chart-1,Chart,Patches_others__Doverfitting__SequenceR__Chart__patch4-Chart-1-SequenceR,Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,Chart|O-O|medium
R1,P167,Math-5,Math,Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,Patches_others__Dcorrect__Jaid__Math__patch3-Math-5-Jaid,Math|C-C|large
R1,P064,Math-85,Math,Patches_others__Dcorrect__SOFix__Math__patch1-Math-85-SOFix,Patches_others__Dcorrect__Jaid__Math__patch1-Math-85-Jaid,Math|C-C|small
R1,P061,Lang-59,Lang,Patches_others__Doverfitting__CapGen__Lang__patch8-Lang-59-CapGen-plausible,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-59-kPAR-plausible,Lang|O-O|small
R1,P086,Closure-45,Closure,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-45-jKali-plausible,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-45-Kali-plausible,Closure|O-O|medium
R3,P003,Chart-1,Chart,Patches_others__Dcorrect__SequenceR__Chart__patch1-Chart-1-SequenceR,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,Chart|C-O|medium
R3,P131,Lang-63,Lang,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-63-TBar-plausible,Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-63-FixMiner-plausible,Lang|O-O|small
R3,P005,Chart-15,Chart,Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-15-Kali-plausible,Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-15-TBar-plausible,Chart|O-O|large
R2,P113,Chart-25,Chart,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible,Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-25-Kali-plausible,Chart|O-O|small
R1,P077,Chart-3,Chart,Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-3-GenProg-plausible,Patches_ICSE__Doverfitting__TBar__Chart__patch1-Chart-3-TBar-plausible,Chart|O-O|medium
R2,P103,Math-85,Math,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-85-TBar-plausible,Patches_others__Doverfitting__SequenceR__Math__patch7-Math-85-SequenceR,Math|O-O|large
R1,P152,Closure-46,Closure,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-46-AVATAR,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-46-jKali-plausible,Closure|C-O|large
