duplicate_group_id,bug_id,member_patch_ids,number_of_duplicates,labels_consistent
DUP0028,Closure-130,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-130-Arja-plausible;Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-130-GenProg-plausible;Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-130-RSRepair-plausible,3,True
DUP0029,Closure-45,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-45-Arja-plausible;Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-45-RSRepair-plausible,2,True
DUP0030,Closure-46,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-46-Kali-plausible;Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-46-jKali-plausible,2,True
DUP0031,Closure-62,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-62-AVATAR;Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-62-SimFix;Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-62-TBar,3,True
DUP0032,Closure-63,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-63-AVATAR;Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-63-SimFix;Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-63-TBar,3,True
DUP0033,Closure-66,Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-66-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-66-TBar-plausible,2,True
DUP0034,Closure-73,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-73-AVATAR;Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-73-SimFix;Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-73-TBar;Patches_ICSE__Dsame__kPAR__Closure__patch1-Closure-73-kPAR,4,True
DUP0035,Lang-10,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR;Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,2,True
DUP0036,Lang-13,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-13-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-13-TBar-plausible,2,True
DUP0037,Lang-16,Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-16-Arja-plausible;Patches_ICSE__Doverfitting__RSRepair__Lang__patch1-Lang-16-RSRepair-plausible,2,True
DUP0038,Lang-18,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-18-TBar-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-18-kPAR-plausible,2,True
DUP0039,Lang-24,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,2,True
DUP0040,Lang-41,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-41-TBar-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-41-kPAR-plausible,2,True
DUP0041,Lang-43,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-43-TBar-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-43-kPAR-plausible,2,True
DUP0042,Lang-45,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-45-TBar-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-45-kPAR-plausible,2,True
DUP0043,Lang-57,Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-57-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-57-kPAR-plausible,2,True
DUP0044,Lang-59,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-59-CapGen;Patches_others__Dcorrect__SketchFix__Lang__patch1-Lang-59-SketchFix,2,True
DUP0045,Lang-6,Patches_others__Dcorrect__CapGen__Lang__patch1-Lang-6-CapGen;Patches_others__Dcorrect__SketchFix__Lang__patch1-Lang-6-SketchFix,2,True
DUP0046,Lang-63,Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-63-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-63-kPAR-plausible,2,True
DUP0047,Lang-7,Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar;Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,2,True
DUP0048,Math-104,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-104-AVATAR-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-104-kPAR-plausible,2,True
DUP0049,Math-2,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-2-Arja-plausible;Patches_ICSE__Doverfitting__RSRepair__Math__patch1-Math-2-RSRepair-plausible,2,True
DUP0050,Math-28,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible;Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-28-GenProg-plausible,2,True
DUP0051,Math-28,Patches_ICSE__Doverfitting__Kali__Math__patch1-Math-28-Kali-plausible;Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-28-jKali-plausible,2,True
DUP0052,Math-32,Patches_ICSE__Doverfitting__Kali__Math__patch1-Math-32-Kali-plausible;Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-32-jKali-plausible,2,True
DUP0053,Math-33,Patches_others__Dcorrect__CapGen__Math__patch1-Math-33-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-33-SOFix;Patches_others__Dcorrect__SketchFix__Math__patch1-Math-33-SketchFix,3,True
DUP0054,Math-49,Patches_ICSE__Doverfitting__Kali__Math__patch1-Math-49-Kali-plausible;Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-49-jKali-plausible,2,True
DUP0055,Math-49,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-49-AVATAR-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-49-kPAR-plausible,2,True
DUP0056,Math-5,Patches_ICSE__Dsame__SimFix__Math__patch1-Math-5-SimFix;Patches_ICSE__Dsame__TBar__Math__patch1-Math-5-TBar,2,True
DUP0057,Math-5,Patches_others__Dcorrect__SOFix__Math__patch1-Math-5-SOFix;Patches_others__Dcorrect__SketchFix__Math__patch1-Math-5-SketchFix,2,True
DUP0058,Math-50,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-50-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-50-kPAR-plausible,2,True
DUP0059,Math-57,Patches_others__Dcorrect__CapGen__Math__patch1-Math-57-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-57-SOFix;Patches_others__Dcorrect__SequenceR__Math__patch1-Math-57-SequenceR,3,True
DUP0060,Math-57,Patches_ICSE__Dsame__FixMiner__Math__patch1-Math-57-FixMiner;Patches_ICSE__Dsame__SimFix__Math__patch1-Math-57-SimFix;Patches_ICSE__Dsame__TBar__Math__patch1-Math-57-TBar,3,True
DUP0061,Math-58,Patches_ICSE__Dsame__Arja__Math__patch1-Math-58-Arja;Patches_ICSE__Dsame__kPAR__Math__patch1-Math-58-kPAR,2,True
DUP0062,Math-59,Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-59-AVATAR;Patches_ICSE__Dsame__SimFix__Math__patch1-Math-59-SimFix,2,True
DUP0063,Math-59,Patches_others__Dcorrect__CapGen__Math__patch1-Math-59-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-59-SOFix;Patches_others__Dcorrect__SketchFix__Math__patch1-Math-59-SketchFix,3,True
DUP0064,Math-6,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-6-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-6-TBar-plausible,2,True
DUP0065,Math-62,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-62-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-62-TBar-plausible,2,True
DUP0066,Math-63,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-63-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-63-kPAR-plausible,2,True
DUP0067,Math-70,Patches_ICSE__Dsame__Cardumen__Math__patch1-Math-70-Cardumen;Patches_ICSE__Dsame__FixMiner__Math__patch1-Math-70-FixMiner;Patches_ICSE__Dsame__SimFix__Math__patch1-Math-70-SimFix;Patches_ICSE__Dsame__TBar__Math__patch1-Math-70-TBar;Patches_ICSE__Dsame__jGenProg__Math__patch1-Math-70-jGenProg;Patches_ICSE__Dsame__kPAR__Math__patch1-Math-70-kPAR,6,True
DUP0068,Math-70,Patches_others__Dcorrect__CapGen__Math__patch1-Math-70-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-70-SOFix,2,True
DUP0069,Math-75,Patches_others__Dcorrect__CapGen__Math__patch1-Math-75-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-75-SOFix,2,True
DUP0070,Math-75,Patches_ICSE__Dsame__FixMiner__Math__patch1-Math-75-FixMiner;Patches_ICSE__Dsame__SimFix__Math__patch1-Math-75-SimFix;Patches_ICSE__Dsame__TBar__Math__patch1-Math-75-TBar;Patches_ICSE__Dsame__kPAR__Math__patch1-Math-75-kPAR,4,True
DUP0071,Math-79,Patches_ICSE__Dsame__FixMiner__Math__patch1-Math-79-FixMiner;Patches_ICSE__Dsame__SimFix__Math__patch1-Math-79-SimFix;Patches_ICSE__Dsame__TBar__Math__patch1-Math-79-TBar,3,True
DUP0072,Math-80,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible;Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-80-TBar-plausible,2,True
DUP0073,Math-80,Patches_others__Dcorrect__CapGen__Math__patch1-Math-80-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-80-SOFix,2,True
DUP0074,Math-80,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-80-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-80-kPAR-plausible,2,True
DUP0075,Math-81,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-81-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-81-kPAR-plausible,2,True
DUP0076,Math-82,Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-82-GenProg-plausible;Patches_ICSE__Doverfitting__RSRepair__Math__patch1-Math-82-RSRepair-plausible,2,True
DUP0077,Math-82,Patches_others__Dcorrect__SOFix__Math__patch1-Math-82-SOFix;Patches_others__Dcorrect__SketchFix__Math__patch1-Math-82-SketchFix,2,True
DUP0078,Math-84,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-84-AVATAR-plausible;Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-84-FixMiner-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-84-kPAR-plausible,3,True
DUP0079,Math-85,Patches_others__Dcorrect__CapGen__Math__patch1-Math-85-CapGen;Patches_others__Dcorrect__SOFix__Math__patch1-Math-85-SOFix,2,True
DUP0080,Math-85,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-85-FixMiner-plausible;Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-85-TBar-plausible,2,True
DUP0081,Math-88,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-88-AVATAR-plausible;Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-88-kPAR-plausible,2,True
DUP0082,Math-89,Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-89-AVATAR;Patches_ICSE__Dsame__TBar__Math__patch1-Math-89-TBar;Patches_ICSE__Dsame__kPAR__Math__patch1-Math-89-kPAR,3,True
