bug_id,patch_id,project,ground_truth_label,tercile,size
Math-61,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-61-ACS,Math,correct,large,4
Lang-35,Patches_ICSE__Ddifferent__ACS__Lang__patch1-Lang-35-ACS,Lang,overfitting,large,4
Math-25,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-25-ACS,Math,correct,small,2
Chart-13,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,Chart,overfitting,large,4
Closure-2,Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,Closure,correct,large,5
Lang-7,Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Lang,overfitting,small,2
Lang-57,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang,correct,small,2
Time-14,Patches_ICSE__Doverfitting__Nopol__Time__patch1-Time-14-Nopol-plausible,Time,overfitting,small,2
Lang-10,Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang,correct,large,8
Math-50,Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Math,overfitting,large,8
Math-73,Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,Math,overfitting,small,2
Chart-20,Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,Chart,correct,large,6
Closure-45,Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,Closure,overfitting,large,5
Chart-14,Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart,overfitting,small,2
Time-19,Patches_others__Dcorrect__SOFix__Time__patch1-Time-19-SOFix,Time,correct,small,2
Closure-19,Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Closure,overfitting,small,2
Chart-11,Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart,correct,small,2
Closure-126,Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Closure,correct,small,1
Math-82,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-82-ACS,Math,correct,large,3
Lang-60,Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Lang,overfitting,large,9
Math-3,Patches_ICSE__Ddifferent__ACS__Math__patch1-Math-3-ACS,Math,correct,small,2
