patch_id,raw_changed_lines,normalized_changed_lines,normalization_applied,verification_status
Patches_ICSE__Ddifferent__kPAR__Closure__patch1-Closure-40-kPAR,2,2,False,PASS
Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,2,2,False,PASS
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-28-ACS-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-81-ACS-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-93-ACS-plausible,9,9,False,PASS
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-97-ACS-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,381,379,True,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-25-AVATAR-plausible,44,42,True,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-26-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-5-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-7-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-108-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-12-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-126-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-21-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-22-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-45-AVATAR-plausible,5,5,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-48-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-66-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-13-AVATAR-plausible,18,18,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-20-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-22-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-27-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-39-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-51-AVATAR-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-58-AVATAR-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-59-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-63-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-104-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-2-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-49-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-50-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-57-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-6-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-62-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-78-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-81-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-82-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-84-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-88-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-95-AVATAR-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-1-Arja-plusible,4,4,False,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-13-Arja-plusible,3,1,True,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-14-Arja-plusible,9,9,False,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-15-Arja-plusible,6,6,False,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-19-Arja-plusible,21,11,True,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-25-Arja-plusible,52,42,True,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-3-Arja-plusible,16,16,False,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-5-Arja-plusible,13,11,True,PASS
Patches_ICSE__Doverfitting__Arja__Chart__patch1-Chart-7-Arja-plusible,3,1,True,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-1-Arja-plausible,13,13,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-10-Arja-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-112-Arja-plausible,46,46,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-114-Arja-plausible,16,16,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-116-Arja-plausible,20,20,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-117-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-119-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-120-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-121-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-124-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-125-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-129-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-130-Arja-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-133-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-21-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-22-Arja-plausible,12,12,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-33-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-45-Arja-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-46-Arja-plausible,14,14,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-55-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-59-Arja-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-67-Arja-plausible,13,13,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-68-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-7-Arja-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-75-Arja-plausible,11,11,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-78-Arja-plausible,6,6,False,PASS
Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-8-Arja-plausible,36,36,False,PASS
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-16-Arja-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-20-Arja-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-7-Arja-plausible,6,4,True,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-2-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-40-Arja-plausible,3,1,True,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-56-Arja-plausible,6,4,True,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-74-Arja-plausible,6,2,True,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-80-Arja-plausible,9,9,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-81-Arja-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-82-Arja-plausible,7,7,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-84-Arja-plausible,7,7,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-85-Arja-plausible,6,6,False,PASS
Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-95-Arja-plausible,5,3,True,PASS
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-13-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-24-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Chart__patch1-Chart-6-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-62-Cardumen-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-63-Cardumen-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-5-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-63-Cardumen-plausible,120,120,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-73-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-85-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Cardumen__Math__patch1-Math-95-Cardumen-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-1-DynaMoth-plausible,6,6,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-13-DynaMoth-plausible,16,16,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-15-DynaMoth-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-18-DynaMoth-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-25-DynaMoth-plausible,16,16,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Chart__patch1-Chart-5-DynaMoth-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Lang__patch1-Lang-51-DynaMoth-plausible,8,6,True,PASS
Patches_ICSE__Doverfitting__DynaMoth__Lang__patch1-Lang-63-DynaMoth-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-105-DynaMoth-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-20-DynaMoth-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-32-DynaMoth-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-41-DynaMoth-plausible,18,18,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-49-DynaMoth-plausible,8,8,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-58-DynaMoth-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-71-DynaMoth-plausible,10,10,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-8-DynaMoth-plausible,6,6,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-80-DynaMoth-plausible,14,14,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-81-DynaMoth-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-82-DynaMoth-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Math__patch1-Math-85-DynaMoth-plausible,14,14,False,PASS
Patches_ICSE__Doverfitting__DynaMoth__Time__patch1-Time-11-DynaMoth-plausible,12,12,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-13-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-14-FixMiner-plausible,5,5,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-15-FixMiner-plausible,5,5,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-17-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-26-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-3-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-7-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Closure__patch1-Closure-129-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Closure__patch1-Closure-19-FixMiner-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-57-FixMiner-plausible,5,5,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-63-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-20-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-50-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-63-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-80-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-81-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-84-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-85-FixMiner-plausible,7,7,False,PASS
Patches_ICSE__Doverfitting__FixMiner__Time__patch1-Time-11-FixMiner-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-1-GenProg-plausible,8,6,True,PASS
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-12-GenProg-plausible,11,11,False,PASS
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-13-GenProg-plausible,14,10,True,PASS
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-25-GenProg-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__GenProg__Chart__patch1-Chart-3-GenProg-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-10-GenProg-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-112-GenProg-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-114-GenProg-plausible,7,5,True,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-124-GenProg-plausible,16,16,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-129-GenProg-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-130-GenProg-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-21-GenProg-plausible,9,9,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-22-GenProg-plausible,4,4,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-55-GenProg-plausible,5,5,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-59-GenProg-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-67-GenProg-plausible,22,22,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-75-GenProg-plausible,7,7,False,PASS
Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-78-GenProg-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__GenProg__Lang__patch1-Lang-7-GenProg-plausible,3,1,True,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-2-GenProg-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-28-GenProg-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-31-GenProg-plausible,8,6,True,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-40-GenProg-plausible,44,30,True,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-80-GenProg-plausible,18,14,True,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-81-GenProg-plausible,21,21,False,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-82-GenProg-plausible,1,1,False,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-85-GenProg-plausible,14,10,True,PASS
Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-95-GenProg-plausible,12,10,True,PASS
Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-1-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-12-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-15-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-25-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-26-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Chart__patch1-Chart-5-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-1-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-10-Kali-plausible,8,8,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-112-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-114-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-117-Kali-plausible,6,6,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-119-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-12-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-120-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-121-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-122-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-124-Kali-plausible,3,3,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-125-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-127-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-129-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-130-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-131-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-132-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-15-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-20-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-21-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-22-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-26-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-29-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-3-Kali-plausible,2,2,False,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-30-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,4,2,True,PASS
Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-33-Kali-plausible,2,2,False,PASS
