sha1,patch_id,bug_id,tool,label,group_size,same_bug,label_conflict
8e9fcbcff6791657f7919ac4d19e529648b0fd82,Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-12-AVATAR-plausible,Closure-12,AVATAR,overfitting,2,True,False
8e9fcbcff6791657f7919ac4d19e529648b0fd82,Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-12-TBar-plausible,Closure-12,TBar,overfitting,2,True,False
48af2f5b23d95128a22d99b038aafb16de6ca19e,Patches_ICSE__Doverfitting__AVATAR__Closure__patch1-Closure-66-AVATAR-plausible,Closure-66,AVATAR,overfitting,2,True,False
48af2f5b23d95128a22d99b038aafb16de6ca19e,Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-66-TBar-plausible,Closure-66,TBar,overfitting,2,True,False
77a1d78e4db3404dae0e88c835cf4eb960027c18,Patches_ICSE__Doverfitting__AVATAR__Lang__patch1-Lang-13-AVATAR-plausible,Lang-13,AVATAR,overfitting,2,True,False
77a1d78e4db3404dae0e88c835cf4eb960027c18,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-13-TBar-plausible,Lang-13,TBar,overfitting,2,True,False
f1d4f0539d03748b275c123c4f88af230bacdf7c,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-104-AVATAR-plausible,Math-104,AVATAR,overfitting,2,True,False
f1d4f0539d03748b275c123c4f88af230bacdf7c,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-104-kPAR-plausible,Math-104,kPAR,overfitting,2,True,False
b3b6110b40a31304157ea62d3e9bf006deea8205,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-49-AVATAR-plausible,Math-49,AVATAR,overfitting,2,True,False
b3b6110b40a31304157ea62d3e9bf006deea8205,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-49-kPAR-plausible,Math-49,kPAR,overfitting,2,True,False
f43cd5f64b93b9f0e66a30d756aaa5bd945ba6f0,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-6-AVATAR-plausible,Math-6,AVATAR,overfitting,2,True,False
f43cd5f64b93b9f0e66a30d756aaa5bd945ba6f0,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-6-TBar-plausible,Math-6,TBar,overfitting,2,True,False
79aa873ed5fb96ca612968e5b82f249cec6fe634,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-62-AVATAR-plausible,Math-62,AVATAR,overfitting,2,True,False
79aa873ed5fb96ca612968e5b82f249cec6fe634,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-62-TBar-plausible,Math-62,TBar,overfitting,2,True,False
bdd52035940afa45c5942e83832dd3ad1c6a4c1e,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-80-AVATAR-plausible,Math-80,AVATAR,overfitting,2,True,False
bdd52035940afa45c5942e83832dd3ad1c6a4c1e,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-80-TBar-plausible,Math-80,TBar,overfitting,2,True,False
a5225b87be204cc71c5ca98d212dd89af76c7552,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-84-AVATAR-plausible,Math-84,AVATAR,overfitting,3,True,False
a5225b87be204cc71c5ca98d212dd89af76c7552,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-84-FixMiner-plausible,Math-84,FixMiner,overfitting,3,True,False
a5225b87be204cc71c5ca98d212dd89af76c7552,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-84-kPAR-plausible,Math-84,kPAR,overfitting,3,True,False
f38f7677d0fbfd930e137456c5666e269d44095d,Patches_ICSE__Doverfitting__AVATAR__Math__patch1-Math-88-AVATAR-plausible,Math-88,AVATAR,overfitting,2,True,False
f38f7677d0fbfd930e137456c5666e269d44095d,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-88-kPAR-plausible,Math-88,kPAR,overfitting,2,True,False
49456cdd1eb2138b7cc3ae0cd3a8caf901856dfe,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-129-Arja-plausible,Closure-129,Arja,overfitting,3,True,False
49456cdd1eb2138b7cc3ae0cd3a8caf901856dfe,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-129-GenProg-plausible,Closure-129,GenProg,overfitting,3,True,False
49456cdd1eb2138b7cc3ae0cd3a8caf901856dfe,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-129-RSRepair-plausible,Closure-129,RSRepair,overfitting,3,True,False
c44861c09b2dbfe38f6c43bdc22c4f64eee038ef,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-130-Arja-plausible,Closure-130,Arja,overfitting,3,True,False
c44861c09b2dbfe38f6c43bdc22c4f64eee038ef,Patches_ICSE__Doverfitting__GenProg__Closure__patch1-Closure-130-GenProg-plausible,Closure-130,GenProg,overfitting,3,True,False
c44861c09b2dbfe38f6c43bdc22c4f64eee038ef,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-130-RSRepair-plausible,Closure-130,RSRepair,overfitting,3,True,False
c524e6c6808a487e381fb5e88b12f90fad485b33,Patches_ICSE__Doverfitting__Arja__Closure__patch1-Closure-45-Arja-plausible,Closure-45,Arja,overfitting,2,True,False
c524e6c6808a487e381fb5e88b12f90fad485b33,Patches_ICSE__Doverfitting__RSRepair__Closure__patch1-Closure-45-RSRepair-plausible,Closure-45,RSRepair,overfitting,2,True,False
f9ec86bc49cca9898e5e8b0f4fbf581302362a9f,Patches_ICSE__Doverfitting__Arja__Lang__patch1-Lang-16-Arja-plausible,Lang-16,Arja,overfitting,2,True,False
f9ec86bc49cca9898e5e8b0f4fbf581302362a9f,Patches_ICSE__Doverfitting__RSRepair__Lang__patch1-Lang-16-RSRepair-plausible,Lang-16,RSRepair,overfitting,2,True,False
2338f7132ddd57bca7ab71c6025c11b897b5efe5,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-2-Arja-plausible,Math-2,Arja,overfitting,2,True,False
2338f7132ddd57bca7ab71c6025c11b897b5efe5,Patches_ICSE__Doverfitting__RSRepair__Math__patch1-Math-2-RSRepair-plausible,Math-2,RSRepair,overfitting,2,True,False
2bc58e6813bed943a3a4588eabce97b4b22e4daf,Patches_ICSE__Doverfitting__Arja__Math__patch1-Math-28-Arja-plausible,Math-28,Arja,overfitting,2,True,False
2bc58e6813bed943a3a4588eabce97b4b22e4daf,Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-28-GenProg-plausible,Math-28,GenProg,overfitting,2,True,False
5f2e3a99184f3721c7d0e0a38cfb6d670d80f439,Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-62-Cardumen-plausible,Closure-62,Cardumen,overfitting,2,False,False
5f2e3a99184f3721c7d0e0a38cfb6d670d80f439,Patches_ICSE__Doverfitting__Cardumen__Closure__patch1-Closure-63-Cardumen-plausible,Closure-63,Cardumen,overfitting,2,False,False
bd9365e206c045739444b6b3e00076544c886414,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-13-FixMiner-plausible,Chart-13,FixMiner,overfitting,2,True,False
bd9365e206c045739444b6b3e00076544c886414,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-13-kPAR-plausible,Chart-13,kPAR,overfitting,2,True,False
14cddaa95e43cd66d125a3c78ef9e37da64f2160,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-14-FixMiner-plausible,Chart-14,FixMiner,overfitting,2,True,False
14cddaa95e43cd66d125a3c78ef9e37da64f2160,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-14-kPAR-plausible,Chart-14,kPAR,overfitting,2,True,False
d1b6a398e384107f6c47af079eb2b311c999d746,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-15-FixMiner-plausible,Chart-15,FixMiner,overfitting,2,True,False
d1b6a398e384107f6c47af079eb2b311c999d746,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-15-kPAR-plausible,Chart-15,kPAR,overfitting,2,True,False
ba62837f33406353ab8471e319cabf0216144056,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-17-FixMiner-plausible,Chart-17,FixMiner,overfitting,2,True,False
ba62837f33406353ab8471e319cabf0216144056,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-17-kPAR-plausible,Chart-17,kPAR,overfitting,2,True,False
cd30a6082242630d08b4f203030cf66e9b407a2b,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-25-FixMiner-plausible,Chart-25,FixMiner,overfitting,2,True,False
cd30a6082242630d08b4f203030cf66e9b407a2b,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-25-kPAR-plausible,Chart-25,kPAR,overfitting,2,True,False
cab8f6b1cc50d55a80baf4a1cc2a8e4d26c790a8,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-26-FixMiner-plausible,Chart-26,FixMiner,overfitting,2,True,False
cab8f6b1cc50d55a80baf4a1cc2a8e4d26c790a8,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-26-kPAR-plausible,Chart-26,kPAR,overfitting,2,True,False
7721c16008577a3a4da355500eac36f1d9e65ee5,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-3-FixMiner-plausible,Chart-3,FixMiner,overfitting,2,True,False
7721c16008577a3a4da355500eac36f1d9e65ee5,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-3-kPAR-plausible,Chart-3,kPAR,overfitting,2,True,False
cc5266ca45922c2de017f1ae4ee4bb14c42b0984,Patches_ICSE__Doverfitting__FixMiner__Chart__patch1-Chart-7-FixMiner-plausible,Chart-7,FixMiner,overfitting,2,True,False
cc5266ca45922c2de017f1ae4ee4bb14c42b0984,Patches_ICSE__Doverfitting__kPAR__Chart__patch1-Chart-7-kPAR-plausible,Chart-7,kPAR,overfitting,2,True,False
b1ad79a74b911f506d8fa3bc53865b058945e212,Patches_ICSE__Doverfitting__FixMiner__Closure__patch1-Closure-129-FixMiner-plausible,Closure-129,FixMiner,overfitting,2,True,False
b1ad79a74b911f506d8fa3bc53865b058945e212,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-129-kPAR-plausible,Closure-129,kPAR,overfitting,2,True,False
c793eb9bfab1f934801704c6f72bff1c6ed1d2de,Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-57-FixMiner-plausible,Lang-57,FixMiner,overfitting,2,True,False
c793eb9bfab1f934801704c6f72bff1c6ed1d2de,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-57-kPAR-plausible,Lang-57,kPAR,overfitting,2,True,False
977a916e0cde7766447d0f30c1104379443296cc,Patches_ICSE__Doverfitting__FixMiner__Lang__patch1-Lang-63-FixMiner-plausible,Lang-63,FixMiner,overfitting,2,True,False
977a916e0cde7766447d0f30c1104379443296cc,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-63-kPAR-plausible,Lang-63,kPAR,overfitting,2,True,False
056eb5dbfda0604aab6c6f6b1e1551f53c30f61c,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-50-FixMiner-plausible,Math-50,FixMiner,overfitting,2,True,False
056eb5dbfda0604aab6c6f6b1e1551f53c30f61c,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-50-kPAR-plausible,Math-50,kPAR,overfitting,2,True,False
10e0f66acad29a53606034098f849df4fcfd98bb,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-63-FixMiner-plausible,Math-63,FixMiner,overfitting,2,True,False
10e0f66acad29a53606034098f849df4fcfd98bb,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-63-kPAR-plausible,Math-63,kPAR,overfitting,2,True,False
53718f017c3c008ca63c5a47002a9c01c1db030d,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-80-FixMiner-plausible,Math-80,FixMiner,overfitting,2,True,False
53718f017c3c008ca63c5a47002a9c01c1db030d,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-80-kPAR-plausible,Math-80,kPAR,overfitting,2,True,False
751d9409ff7d007b9692ad1309203066c38ab886,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-81-FixMiner-plausible,Math-81,FixMiner,overfitting,2,True,False
751d9409ff7d007b9692ad1309203066c38ab886,Patches_ICSE__Doverfitting__kPAR__Math__patch1-Math-81-kPAR-plausible,Math-81,kPAR,overfitting,2,True,False
2fa9e547bedc89359a520fc9ef4bf7a78688b1e9,Patches_ICSE__Doverfitting__FixMiner__Math__patch1-Math-85-FixMiner-plausible,Math-85,FixMiner,overfitting,2,True,False
2fa9e547bedc89359a520fc9ef4bf7a78688b1e9,Patches_ICSE__Doverfitting__TBar__Math__patch1-Math-85-TBar-plausible,Math-85,TBar,overfitting,2,True,False
87e8c937fd4b94a32ac9953d1e47d4587fa3b913,Patches_ICSE__Doverfitting__GenProg__Math__patch1-Math-82-GenProg-plausible,Math-82,GenProg,overfitting,2,True,False
87e8c937fd4b94a32ac9953d1e47d4587fa3b913,Patches_ICSE__Doverfitting__RSRepair__Math__patch1-Math-82-RSRepair-plausible,Math-82,RSRepair,overfitting,2,True,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-114-Kali-plausible,Closure-114,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-120-Kali-plausible,Closure-120,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-121-Kali-plausible,Closure-121,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-20-Kali-plausible,Closure-20,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-26-Kali-plausible,Closure-26,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-29-Kali-plausible,Closure-29,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-30-Kali-plausible,Closure-30,Kali,overfitting,8,False,False
dea6fdefb26b69f287a862fb29701648caf6ccbc,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-31-Kali-plausible,Closure-31,Kali,overfitting,8,False,False
146d897521916a012cdaa3812e225b4e314972ba,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-131-Kali-plausible,Closure-131,Kali,overfitting,3,False,False
146d897521916a012cdaa3812e225b4e314972ba,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-132-Kali-plausible,Closure-132,Kali,overfitting,3,False,False
146d897521916a012cdaa3812e225b4e314972ba,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-36-Kali-plausible,Closure-36,Kali,overfitting,3,False,False
42608be5467ade203367b21b7f040162fef80ab4,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-46-Kali-plausible,Closure-46,Kali,overfitting,2,True,False
42608be5467ade203367b21b7f040162fef80ab4,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-46-jKali-plausible,Closure-46,jKali,overfitting,2,True,False
39311dbee19155aa90b4b67ed6d0e5a85b800ed7,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-49-Kali-plausible,Closure-49,Kali,overfitting,2,False,False
39311dbee19155aa90b4b67ed6d0e5a85b800ed7,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-50-Kali-plausible,Closure-50,Kali,overfitting,2,False,False
8bfdc46c081f31f3401c96a5fabe5362c674ad79,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-5-Kali-plausible,Closure-5,Kali,overfitting,2,False,False
8bfdc46c081f31f3401c96a5fabe5362c674ad79,Patches_ICSE__Doverfitting__Kali__Closure__patch1-Closure-8-Kali-plausible,Closure-8,Kali,overfitting,2,False,False
63da7d35dc20d143f63e16f4c95bc7506cf7eb0f,Patches_ICSE__Doverfitting__Kali__Math__patch1-Math-28-Kali-plausible,Math-28,Kali,overfitting,2,True,False
63da7d35dc20d143f63e16f4c95bc7506cf7eb0f,Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-28-jKali-plausible,Math-28,jKali,overfitting,2,True,False
834b5b41d8104f9c7d237e3761e9d88f36ad0bb0,Patches_ICSE__Doverfitting__Kali__Math__patch1-Math-32-Kali-plausible,Math-32,Kali,overfitting,2,True,False
834b5b41d8104f9c7d237e3761e9d88f36ad0bb0,Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-32-jKali-plausible,Math-32,jKali,overfitting,2,True,False
303b8918c7a0bfa11ee8eaeb066952607470e025,Patches_ICSE__Doverfitting__Kali__Math__patch1-Math-49-Kali-plausible,Math-49,Kali,overfitting,2,True,False
303b8918c7a0bfa11ee8eaeb066952607470e025,Patches_ICSE__Doverfitting__jKali__Math__patch1-Math-49-jKali-plausible,Math-49,jKali,overfitting,2,True,False
c2ee6f3630d670f522ec389c1cc4c33c23385386,Patches_ICSE__Doverfitting__SimFix__Lang__patch1-Lang-10-SimFix-plausible,Lang-10,SimFix,overfitting,2,False,False
c2ee6f3630d670f522ec389c1cc4c33c23385386,Patches_ICSE__Doverfitting__SimFix__Lang__patch1-Lang-9-SimFix-plausible,Lang-9,SimFix,overfitting,2,False,False
9c44b68407297896a6f172ab51f675f6ca4980a3,Patches_ICSE__Doverfitting__TBar__Closure__patch1-Closure-109-TBar-plausible,Closure-109,TBar,overfitting,2,True,False
9c44b68407297896a6f172ab51f675f6ca4980a3,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-109-kPAR-plausible,Closure-109,kPAR,overfitting,2,True,False
30913dda267686f2720206f289fa163a1df80829,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-18-TBar-plausible,Lang-18,TBar,overfitting,2,True,False
30913dda267686f2720206f289fa163a1df80829,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-18-kPAR-plausible,Lang-18,kPAR,overfitting,2,True,False
4ef06197874db201b54e81161947fba0561eed66,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-24-TBar-plausible,Lang-24,TBar,overfitting,2,True,False
4ef06197874db201b54e81161947fba0561eed66,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-24-kPAR-plausible,Lang-24,kPAR,overfitting,2,True,False
534958cd566a85a4806cd5dceef6a56044e223c7,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-41-TBar-plausible,Lang-41,TBar,overfitting,2,True,False
534958cd566a85a4806cd5dceef6a56044e223c7,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-41-kPAR-plausible,Lang-41,kPAR,overfitting,2,True,False
4c0615090db5341b33cb2fe31a2a4028b5f10abb,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-43-TBar-plausible,Lang-43,TBar,overfitting,2,True,False
4c0615090db5341b33cb2fe31a2a4028b5f10abb,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-43-kPAR-plausible,Lang-43,kPAR,overfitting,2,True,False
abec0d667cce4809512cbce33f21a8a2b3e016dd,Patches_ICSE__Doverfitting__TBar__Lang__patch1-Lang-45-TBar-plausible,Lang-45,TBar,overfitting,2,True,False
abec0d667cce4809512cbce33f21a8a2b3e016dd,Patches_ICSE__Doverfitting__kPAR__Lang__patch1-Lang-45-kPAR-plausible,Lang-45,kPAR,overfitting,2,True,False
b75732eb872f7a97504bb111008369b70c157ee9,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-62-jKali-plausible,Closure-62,jKali,overfitting,2,False,False
b75732eb872f7a97504bb111008369b70c157ee9,Patches_ICSE__Doverfitting__jKali__Closure__patch1-Closure-63-jKali-plausible,Closure-63,jKali,overfitting,2,False,False
858fcbfefe1201d7af428c13ed9084a89d58cf6a,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-62-kPAR-plausible,Closure-62,kPAR,overfitting,2,False,False
858fcbfefe1201d7af428c13ed9084a89d58cf6a,Patches_ICSE__Doverfitting__kPAR__Closure__patch1-Closure-63-kPAR-plausible,Closure-63,kPAR,overfitting,2,False,False
079b09f3735b3a9a673c86698e846b01b5b49511,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-1-AVATAR,Chart-1,AVATAR,correct,6,True,False
079b09f3735b3a9a673c86698e846b01b5b49511,Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-1-FixMiner,Chart-1,FixMiner,correct,6,True,False
079b09f3735b3a9a673c86698e846b01b5b49511,Patches_ICSE__Dsame__SimFix__Chart__patch1-Chart-1-SimFix,Chart-1,SimFix,correct,6,True,False
079b09f3735b3a9a673c86698e846b01b5b49511,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-1-TBar,Chart-1,TBar,correct,6,True,False
079b09f3735b3a9a673c86698e846b01b5b49511,Patches_ICSE__Dsame__jMutRepair__Chart__patch1-Chart-1-jMutRepair,Chart-1,jMutRepair,correct,6,True,False
079b09f3735b3a9a673c86698e846b01b5b49511,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-1-kPAR,Chart-1,kPAR,correct,6,True,False
5e43e63c98a23b94e5a3f6033f5ef09046c206d9,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-19-AVATAR,Chart-19,AVATAR,correct,4,True,False
5e43e63c98a23b94e5a3f6033f5ef09046c206d9,Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-19-FixMiner,Chart-19,FixMiner,correct,4,True,False
5e43e63c98a23b94e5a3f6033f5ef09046c206d9,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-19-TBar,Chart-19,TBar,correct,4,True,False
5e43e63c98a23b94e5a3f6033f5ef09046c206d9,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-19-kPAR,Chart-19,kPAR,correct,4,True,False
fabe327d0722e209b3f8d0f1675addfc222c47c2,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-24-AVATAR,Chart-24,AVATAR,correct,2,True,False
fabe327d0722e209b3f8d0f1675addfc222c47c2,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-24-TBar,Chart-24,TBar,correct,2,True,False
fe2b03c5efbb125bd018c4434238e5fb16e06b82,Patches_ICSE__Dsame__AVATAR__Chart__patch1-Chart-4-AVATAR,Chart-4,AVATAR,correct,4,True,False
fe2b03c5efbb125bd018c4434238e5fb16e06b82,Patches_ICSE__Dsame__FixMiner__Chart__patch1-Chart-4-FixMiner,Chart-4,FixMiner,correct,4,True,False
fe2b03c5efbb125bd018c4434238e5fb16e06b82,Patches_ICSE__Dsame__TBar__Chart__patch1-Chart-4-TBar,Chart-4,TBar,correct,4,True,False
fe2b03c5efbb125bd018c4434238e5fb16e06b82,Patches_ICSE__Dsame__kPAR__Chart__patch1-Chart-4-kPAR,Chart-4,kPAR,correct,4,True,False
1fc8a3016427ade5022626b54dee24c094c1ca81,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-62-AVATAR,Closure-62,AVATAR,correct,6,False,False
1fc8a3016427ade5022626b54dee24c094c1ca81,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-63-AVATAR,Closure-63,AVATAR,correct,6,False,False
1fc8a3016427ade5022626b54dee24c094c1ca81,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-62-SimFix,Closure-62,SimFix,correct,6,False,False
1fc8a3016427ade5022626b54dee24c094c1ca81,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-63-SimFix,Closure-63,SimFix,correct,6,False,False
1fc8a3016427ade5022626b54dee24c094c1ca81,Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-62-TBar,Closure-62,TBar,correct,6,False,False
1fc8a3016427ade5022626b54dee24c094c1ca81,Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-63-TBar,Closure-63,TBar,correct,6,False,False
7940afb8da492d97d9ba1d21ba9b3180380a6ab5,Patches_ICSE__Dsame__AVATAR__Closure__patch1-Closure-73-AVATAR,Closure-73,AVATAR,correct,4,True,False
7940afb8da492d97d9ba1d21ba9b3180380a6ab5,Patches_ICSE__Dsame__SimFix__Closure__patch1-Closure-73-SimFix,Closure-73,SimFix,correct,4,True,False
7940afb8da492d97d9ba1d21ba9b3180380a6ab5,Patches_ICSE__Dsame__TBar__Closure__patch1-Closure-73-TBar,Closure-73,TBar,correct,4,True,False
7940afb8da492d97d9ba1d21ba9b3180380a6ab5,Patches_ICSE__Dsame__kPAR__Closure__patch1-Closure-73-kPAR,Closure-73,kPAR,correct,4,True,False
3f623b7928073244a973d6545fe3bca9b83d6821,Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-59-AVATAR,Math-59,AVATAR,correct,2,True,False
3f623b7928073244a973d6545fe3bca9b83d6821,Patches_ICSE__Dsame__SimFix__Math__patch1-Math-59-SimFix,Math-59,SimFix,correct,2,True,False
e09b48dfd91e47f0b3dc7bd8b8ebd811a69217ed,Patches_ICSE__Dsame__AVATAR__Math__patch1-Math-89-AVATAR,Math-89,AVATAR,correct,3,True,False
e09b48dfd91e47f0b3dc7bd8b8ebd811a69217ed,Patches_ICSE__Dsame__TBar__Math__patch1-Math-89-TBar,Math-89,TBar,correct,3,True,False
