patch_id,bug_id,project,bug_number,ground_truth_label,original_label,original_dataset_location,normalized_patch_location,duplicate_group_id,APR_tool,included_primary,included_sensitivity,correction_status,exclusion_reason,label_sensitivity,exclusion_reason_sensitivity,trigger_tests_available,buggy_checkout_available,fixed_checkout_available,patch_applies,patch_compiles,original_tests_pass
Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR,Chart-11,Chart,11,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/AVATAR/Chart/patch1-Chart-11-AVATAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__AVATAR__Chart__patch1-Chart-11-AVATAR.diff,DUP0005,AVATAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR,Closure-115,Closure,115,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/AVATAR/Closure/patch1-Closure-115-AVATAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-115-AVATAR.diff,,AVATAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR,Closure-2,Closure,2,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/AVATAR/Closure/patch1-Closure-2-AVATAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-2-AVATAR.diff,,AVATAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR,Closure-38,Closure,38,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/AVATAR/Closure/patch1-Closure-38-AVATAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__AVATAR__Closure__patch1-Closure-38-AVATAR.diff,,AVATAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR,Lang-10,Lang,10,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/AVATAR/Lang/patch1-Lang-10-AVATAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-10-AVATAR.diff,DUP0035,AVATAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR,Lang-57,Lang,57,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/AVATAR/Lang/patch1-Lang-57-AVATAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__AVATAR__Lang__patch1-Lang-57-AVATAR.diff,,AVATAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja,Chart-12,Chart,12,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Arja/Chart/patch1-Chart-12-Arja.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Arja__Chart__patch1-Chart-12-Arja.diff,,Arja,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja,Closure-115,Closure,115,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Arja/Closure/patch1-Closure-115-Arja.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-115-Arja.diff,,Arja,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja,Closure-126,Closure,126,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Arja/Closure/patch1-Closure-126-Arja.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Arja__Closure__patch1-Closure-126-Arja.diff,,Arja,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja,Math-35,Math,35,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Arja/Math/patch1-Math-35-Arja.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-35-Arja.diff,,Arja,True,False,corrected:correct->overfitting,,,mislabeled:Arja-Math-35,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja,Math-50,Math,50,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Arja/Math/patch1-Math-50-Arja.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Arja__Math__patch1-Math-50-Arja.diff,,Arja,True,False,corrected:correct->overfitting,,,mislabeled:Arja-Math-50,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen,Chart-11,Chart,11,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Cardumen/Chart/patch1-Chart-11-Cardumen.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Cardumen__Chart__patch1-Chart-11-Cardumen.diff,DUP0005,Cardumen,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__DynaMoth__Math__patch1-Math-50-DynaMoth,Math-50,Math,50,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/DynaMoth/Math/patch1-Math-50-DynaMoth.patch,data/normalized_patches/Patches_ICSE__Ddifferent__DynaMoth__Math__patch1-Math-50-DynaMoth.diff,,DynaMoth,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner,Chart-11,Chart,11,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/FixMiner/Chart/patch1-Chart-11-FixMiner.patch,data/normalized_patches/Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-11-FixMiner.diff,DUP0005,FixMiner,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-24-FixMiner,Chart-24,Chart,24,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/FixMiner/Chart/patch1-Chart-24-FixMiner.patch,data/normalized_patches/Patches_ICSE__Ddifferent__FixMiner__Chart__patch1-Chart-24-FixMiner.diff,,FixMiner,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg,Closure-115,Closure,115,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/GenProg/Closure/patch1-Closure-115-GenProg.patch,data/normalized_patches/Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-115-GenProg.diff,,GenProg,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg,Closure-126,Closure,126,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/GenProg/Closure/patch1-Closure-126-GenProg.patch,data/normalized_patches/Patches_ICSE__Ddifferent__GenProg__Closure__patch1-Closure-126-GenProg.diff,,GenProg,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-115-Kali,Closure-115,Closure,115,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Kali/Closure/patch1-Closure-115-Kali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-115-Kali.diff,,Kali,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali,Closure-126,Closure,126,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Kali/Closure/patch1-Closure-126-Kali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Kali__Closure__patch1-Closure-126-Kali.diff,DUP0025,Kali,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Kali__Math__patch1-Math-50-Kali,Math-50,Math,50,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Kali/Math/patch1-Math-50-Kali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Kali__Math__patch1-Math-50-Kali.diff,,Kali,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__Nopol__Lang__patch1-Lang-46-Nopol,Lang-46,Lang,46,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/Nopol/Lang/patch1-Lang-46-Nopol.patch,data/normalized_patches/Patches_ICSE__Ddifferent__Nopol__Lang__patch1-Lang-46-Nopol.diff,,Nopol,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair,Closure-115,Closure,115,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/RSRepair/Closure/patch1-Closure-115-RSRepair.patch,data/normalized_patches/Patches_ICSE__Ddifferent__RSRepair__Closure__patch1-Closure-115-RSRepair.diff,,RSRepair,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix,Chart-20,Chart,20,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Chart/patch1-Chart-20-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Chart__patch1-Chart-20-SimFix.diff,,SimFix,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix,Closure-115,Closure,115,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Closure/patch1-Closure-115-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-115-SimFix.diff,,SimFix,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix,Closure-19,Closure,19,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Closure/patch1-Closure-19-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-19-SimFix.diff,,SimFix,True,False,corrected:correct->overfitting,,,mislabeled:SimFix-Closure-19,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-6-SimFix,Closure-6,Closure,6,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Closure/patch1-Closure-6-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-6-SimFix.diff,,SimFix,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-68-SimFix,Closure-68,Closure,68,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Closure/patch1-Closure-68-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Closure__patch1-Closure-68-SimFix.diff,,SimFix,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix,Lang-60,Lang,60,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Lang/patch1-Lang-60-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Lang__patch1-Lang-60-SimFix.diff,,SimFix,True,False,corrected:correct->overfitting,,,mislabeled:SimFix-Lang-60,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-71-SimFix,Math-71,Math,71,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Math/patch1-Math-71-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-71-SimFix.diff,,SimFix,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix,Math-72,Math,72,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/SimFix/Math/patch1-Math-72-SimFix.patch,data/normalized_patches/Patches_ICSE__Ddifferent__SimFix__Math__patch1-Math-72-SimFix.diff,,SimFix,True,False,corrected:correct->overfitting,,,mislabeled:SimFix-Math-72,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar,Chart-11,Chart,11,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Chart/patch1-Chart-11-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Chart__patch1-Chart-11-TBar.diff,DUP0005,TBar,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar,Lang-10,Lang,10,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Lang/patch1-Lang-10-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-10-TBar.diff,DUP0035,TBar,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-33-TBar,Lang-33,Lang,33,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Lang/patch1-Lang-33-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-33-TBar.diff,,TBar,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-47-TBar,Lang-47,Lang,47,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Lang/patch1-Lang-47-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-47-TBar.diff,,TBar,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar,Lang-7,Lang,7,,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Lang/patch1-Lang-7-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Lang__patch1-Lang-7-TBar.diff,DUP0047,TBar,False,False,none,borderline:TBar-Lang-7,,borderline:TBar-Lang-7,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-11-TBar,Math-11,Math,11,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Math/patch1-Math-11-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-11-TBar.diff,,TBar,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-65-TBar,Math-65,Math,65,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/TBar/Math/patch1-Math-65-TBar.patch,data/normalized_patches/Patches_ICSE__Ddifferent__TBar__Math__patch1-Math-65-TBar.diff,,TBar,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg,Math-5,Math,5,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/jGenProg/Math/patch1-Math-5-jGenProg.patch,data/normalized_patches/Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-5-jGenProg.diff,,jGenProg,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg,Math-53,Math,53,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/jGenProg/Math/patch1-Math-53-jGenProg.patch,data/normalized_patches/Patches_ICSE__Ddifferent__jGenProg__Math__patch1-Math-53-jGenProg.diff,,jGenProg,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali,Closure-126,Closure,126,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/jKali/Closure/patch1-Closure-126-jKali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__jKali__Closure__patch1-Closure-126-jKali.diff,DUP0025,jKali,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali,Lang-10,Lang,10,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/jKali/Lang/patch1-Lang-10-jKali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-10-jKali.diff,,jKali,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali,Lang-7,Lang,7,overfitting,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/jKali/Lang/patch1-Lang-7-jKali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__jKali__Lang__patch1-Lang-7-jKali.diff,,jKali,True,False,corrected:correct->overfitting,,,mislabeled:jKali-Lang-7,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__jKali__Math__patch1-Math-50-jKali,Math-50,Math,50,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/jKali/Math/patch1-Math-50-jKali.patch,data/normalized_patches/Patches_ICSE__Ddifferent__jKali__Math__patch1-Math-50-jKali.diff,,jKali,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__kPAR__Closure__patch1-Closure-40-kPAR,Closure-40,Closure,40,correct,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/kPAR/Closure/patch1-Closure-40-kPAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__kPAR__Closure__patch1-Closure-40-kPAR.diff,,kPAR,True,True,none,,correct,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR,Lang-7,Lang,7,,correct,Patches.zip:Patches/Patches_ICSE/Ddifferent/kPAR/Lang/patch1-Lang-7-kPAR.patch,data/normalized_patches/Patches_ICSE__Ddifferent__kPAR__Lang__patch1-Lang-7-kPAR.diff,DUP0047,kPAR,False,False,none,borderline:kPAR-Lang-7,,borderline:kPAR-Lang-7,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-28-ACS-plausible,Math-28,Math,28,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/ACS/Math/patch1-Math-28-ACS-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-28-ACS-plausible.diff,,ACS,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible,Math-4,Math,4,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/ACS/Math/patch1-Math-4-ACS-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-4-ACS-plausible.diff,,ACS,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible,Math-73,Math,73,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/ACS/Math/patch1-Math-73-ACS-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-73-ACS-plausible.diff,,ACS,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-81-ACS-plausible,Math-81,Math,81,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/ACS/Math/patch1-Math-81-ACS-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-81-ACS-plausible.diff,,ACS,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-93-ACS-plausible,Math-93,Math,93,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/ACS/Math/patch1-Math-93-ACS-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-93-ACS-plausible.diff,,ACS,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-97-ACS-plausible,Math-97,Math,97,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/ACS/Math/patch1-Math-97-ACS-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__ACS__Math__patch1-Math-97-ACS-plausible.diff,,ACS,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible,Chart-13,Chart,13,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/AVATAR/Chart/patch1-Chart-13-AVATAR-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-13-AVATAR-plausible.diff,,AVATAR,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible,Chart-14,Chart,14,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/AVATAR/Chart/patch1-Chart-14-AVATAR-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-14-AVATAR-plausible.diff,,AVATAR,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible,Chart-15,Chart,15,overfitting,overfitting,Patches.zip:Patches/Patches_ICSE/Doverfitting/AVATAR/Chart/patch1-Chart-15-AVATAR-plausible.patch,data/normalized_patches/Patches_ICSE__Doverfitting__AVATAR__Chart__patch1-Chart-15-AVATAR-plausible.diff,DUP0010,AVATAR,True,True,none,,overfitting,,NA,NA,NA,NA,NA,NA
